Opinion ID	State	Date
3156495	AK	2015-11-20
2780828	AK	2015-02-20
3158065	AK	2015-11-25
2654073	AK	2014-02-19
2672244	AK	2014-03-07
2679745	AK	2014-06-20
2500657	AK	2012-04-13
855991	AK	2013-03-22
2673164	AK	2014-05-09
1041083	AK	2013-09-13
2804428	AK	2015-05-29
1037766	AK	2013-08-16
4112453	AK	2016-12-30
2645109	AK	2013-12-06
3160116	AK	2015-11-25
2716466	AK	2014-08-08
4108036	AK	2016-12-16
3151035	AK	2015-10-30
2499971	AK	2012-04-27
822836	AK	2013-02-22
4036643	AK	2016-09-23
1032021	AK	2013-07-05
3133198	AK	2015-09-25
4023919	AK	2016-08-12
2499091	AK	2012-04-20
2678350	AK	2014-06-13
2827472	AK	2015-08-14
2673165	AK	2014-05-09
2827470	AK	2015-08-14
2341473	AK	2012-04-20
2743099	AK	2014-10-16
2685778	AK	2014-07-25
2716462	AK	2014-08-08
2338449	AK	2012-01-13
2653415	AK	2014-02-14
1036324	AK	2013-08-02
867620	AK	2013-04-26
2720212	AK	2014-08-22
1041536	AK	2013-09-20
2654072	AK	2014-02-21
2749080	AK	2014-11-07
902518	AK	2013-06-14
2737443	AK	2014-09-12
855990	AK	2013-03-22
2353822	AK	2012-04-06
822837	AK	2013-02-15
2670579	AK	2014-04-18
3161941	AK	2015-12-11
3212023	AK	2016-05-20
2801148	AK	2015-05-15
3188961	AK	2016-03-25
2720214	AK	2014-08-22
3219431	AK	2016-07-01
822839	AK	2013-02-15
2641660	AK	2013-11-08
2735196	AK	2014-09-19
856705	AK	2013-03-29
3169273	AK	2016-01-13
2648113	AK	2014-01-03
3214363	AK	2016-06-17
822846	AK	2013-01-18
1209637	AK	2013-02-03
2669632	AK	2014-04-11
2655177	AK	2014-02-28
2685782	AK	2014-07-18
3192563	AK	2016-04-08
2816332	AK	2015-07-10
2670581	AK	2014-04-18
3166817	AK	2015-12-31
2336032	AK	2012-04-06
1037000	AK	2013-08-09
3158066	AK	2015-11-20
2669629	AK	2014-04-11
867615	AK	2013-05-10
2658401	AK	2014-03-28
2801149	AK	2015-05-15
2716463	AK	2014-08-08
856704	AK	2013-03-29
2675577	AK	2014-05-23
856703	AK	2013-03-29
3203368	AK	2016-05-13
3188963	AK	2016-03-25
3214362	AK	2016-06-17
2831983	AK	2015-08-28
1039466	AK	2013-08-30
1041535	AK	2013-09-20
2644495	AK	2013-11-29
4104125	AK	2016-12-02
2646302	AK	2013-12-13
856701	AK	2013-03-29
1038343	AK	2013-08-23
1033674	AK	2013-07-12
2498669	AK	2012-05-08
2656734	AK	2014-03-14
2801152	AK	2015-05-15
2787970	AK	2015-03-13
3158063	AK	2015-11-25
2756150	AK	2014-11-28
3169985	AK	2016-01-15
1040113	AK	2013-09-06
2672440	AK	2014-05-02
2720211	AK	2014-08-22
2689319	AK	2014-08-01
2680822	AK	2014-06-27
2772759	AK	2015-01-23
2756148	AK	2014-11-28
2718320	AK	2014-08-08
2743097	AK	2014-10-16
2656739	AK	2014-03-07
1042351	AK	2013-09-27
2341803	AK	2012-01-20
2685779	AK	2014-07-25
2643660	AK	2013-11-22
2643662	AK	2013-11-22
2652632	AK	2014-02-07
2680821	AK	2014-06-27
3178924	AK	2016-02-12
4104124	AK	2016-12-02
2656738	AK	2014-03-07
2334960	AK	2012-03-02
3212022	AK	2016-06-10
822845	AK	2013-01-18
1037765	AK	2013-08-16
2655178	AK	2014-02-21
2673162	AK	2014-05-09
3163998	AK	2015-12-18
1085133	AK	2013-10-11
2679742	AK	2014-06-20
2831988	AK	2015-08-28
2801153	AK	2015-05-01
3186939	AK	2016-03-18
2789707	AK	2015-03-27
2822143	AK	2015-07-17
949760	AK	2013-06-28
2655917	AK	2014-03-07
1037763	AK	2013-08-16
2787969	AK	2015-03-20
2789706	AK	2015-03-27
2754131	AK	2014-11-21
4102421	AK	2016-11-25
2335720	AK	2012-02-10
2722180	AK	2014-08-29
856702	AK	2013-03-29
1038345	AK	2013-08-16
2831984	AK	2015-08-28
1033673	AK	2013-07-12
2658399	AK	2014-03-28
2330745	AK	2012-05-25
3173561	AK	2016-01-29
2827469	AK	2015-08-14
2822142	AK	2015-07-17
2657601	AK	2014-03-21
3133193	AK	2015-09-25
904273	AK	2013-06-21
4108033	AK	2016-12-16
2679744	AK	2014-06-20
2831986	AK	2015-08-28
2822141	AK	2015-07-24
2718319	AK	2014-08-15
4111364	AK	2016-12-16
2668909	AK	2014-03-28
2658400	AK	2014-03-28
3214364	AK	2016-06-17
2751523	AK	2014-11-14
867625	AK	2013-04-08
4104126	AK	2016-11-25
2669626	AK	2014-04-11
1040112	AK	2013-09-06
2796414	AK	2015-04-24
3182833	AK	2016-03-04
3199186	AK	2016-04-29
2330696	AK	2012-06-01
3196932	AK	2016-04-22
2685783	AK	2014-07-18
2720215	AK	2014-08-22
2732589	AK	2014-09-12
1034465	AK	2013-07-19
3168226	AK	2016-01-08
2339540	AK	2012-01-13
2499603	AK	2012-04-13
2671356	AK	2014-04-25
2784532	AK	2015-03-06
2331009	AK	2012-05-18
822844	AK	2013-01-18
867623	AK	2013-04-12
2724003	AK	2014-09-05
1036323	AK	2013-08-02
2760353	AK	2014-11-28
3188960	AK	2016-03-25
2760349	AK	2014-12-12
1038340	AK	2013-08-23
1035424	AK	2013-07-26
2657600	AK	2014-03-21
2743098	AK	2014-10-16
2645953	AK	2013-12-13
2678349	AK	2014-06-13
2674728	AK	2014-05-09
4095629	AK	2016-11-04
3182834	AK	2016-03-04
1040756	AK	2013-09-13
3186937	AK	2016-03-18
822842	AK	2013-02-01
2807878	AK	2015-06-12
3133195	AK	2015-09-25
2735195	AK	2014-09-19
3161940	AK	2015-12-11
855336	AK	2013-03-15
3133192	AK	2015-09-25
2805950	AK	2015-06-05
4092928	AK	2016-10-26
2801151	AK	2015-05-15
2656735	AK	2014-03-14
3151036	AK	2015-10-16
3133191	AK	2015-10-09
2645949	AK	2013-12-13
1038341	AK	2013-08-23
855989	AK	2013-03-22
3133194	AK	2015-09-25
2656736	AK	2014-03-14
2673166	AK	2014-05-09
1032022	AK	2013-07-05
2649717	AK	2014-01-03
3133197	AK	2015-09-25
2794607	AK	2015-04-17
2655919	AK	2014-03-07
4108034	AK	2016-12-16
