HathiTrust ID	Author	Volume Title
mdp.39015004878867	Dick, Philip K.	The game-players of Titan
mdp.39015004924760	Le Guin, Ursula K.	Rocannon's world
mdp.39015005004877	Disch, Thomas M.	334
mdp.39015005014173	Disch, Thomas M.	Fun with your new head
mdp.39015005062321	Aldiss, Brian	Neanderthal planet
mdp.39015005062339	Aldiss, Brian	Last orders, and other stories
mdp.39015005067296	Wilhelm, Kate	Welcome, chaos
mdp.39015005084317	Norton, Andre	The crossroads of time
mdp.39015005085272	Asimov, Isaac	The rest of the robots
mdp.39015005091841	Norton, Andre	Voodoo planet and Star hunter
mdp.39015005104842	Blish, James and Norman L. Knight	A torrent of faces
mdp.39015005156263	Norton, Andre	Key out of time
mdp.39015005165686	Clarke, Arthur C.	Islands in the sky
mdp.39015005165702	Bradley, Marion Zimmer	The planet savers
mdp.39015005169654	Moorcock, Michael	The hollow lands.
mdp.39015005179976	Disch, Thomas M.	The early science fiction stories of Thomas M. Disch
mdp.39015005184638	Vinge, Joan D.	The snow queen
mdp.39015005228989	Silverberg, Robert	Other dimensions : ten stories of science fiction.
mdp.39015005233310	Lessing, Doris	The making of the representative for planet 8
mdp.39015005310704	Wolfe, Gene	The citadel of the autarch
mdp.39015005320745	Delany, Samuel R.	Babel-17
mdp.39015005325710	Lessing, Doris	The Sirian experiments
mdp.39015005343515	Bradley, Marion Zimmer	The forbidden tower
mdp.39015005389245	Varley, John	Millennium
mdp.39015005392975	Bradley, Marion Zimmer	The winds of Darkover
mdp.39015005461473	Asimov, Isaac	The early Asimov; or, Eleven years of trying.
mdp.39015005482750	Tucker, Wilson	The time masters
mdp.39015005513612	Van Vogt, A. E.	Supermind
mdp.39015005543049	Dickson, Gordon R.	The R-Master
mdp.39015005571172	Pohl, Frederik	The man who ate the world
mdp.39015005587061	Brunner, John	The dramaturges of Yan
mdp.39015005615920	Sargent, Pamela	Earthseed
mdp.39015005648749	Tucker, Wilson	The year of the quiet sun
mdp.39015005649820	Norton, Andre	Plague ship
