HathiTrust ID	Author	Volume Title
mdp.39015024079264	Le Guin, Ursula K.	The dispossessed : an ambiguous Utopia
mdp.39015024079447	Simak, Clifford D.	The goblin reservation
mdp.39015024090261	Norton, Andre	Moon of three rings
mdp.39015024090279	Norton, Andre	Star Man's son, 2250 A.D.
mdp.39015024643234	Silverberg, Robert	Majipoor chronicles.
mdp.39015024771092	Piercy, Marge	He, she, and it : a novel
mdp.39015024842075	Sargent, Pamela	Alien upstairs
mdp.39015024865944	Constantine, Murray	Swastika night
mdp.39015024891734	McCaffrey, Anne	Pegasus in flight
mdp.39015024956388	Turner, George	Brain child
mdp.39015024956420	Harrison, Harry	Return to Eden
mdp.39015025029078	Bishop, Michael	Blooded on Arachne
mdp.39015025155139	Gibson, William	Mona Lisa overdrive
mdp.39015025219471	Gibson, William and Bruce Sterling	The difference engine
mdp.39015025251706	Tepper, Sheri S.	Sideshow
mdp.39015025286538	Brin, David	Startide rising
mdp.39015025382444	Bova, Ben	Mars
mdp.39015025812895	Lafferty, R. A.	Past master
mdp.39015026866635	Lem, Stanisław	Imaginary magnitude
mdp.39015026969041	Capek, Karel	The absolute at large
mdp.39015027227860	Silverberg, Robert	Conquerors from the darkness
mdp.39015027236150	Asimov, Isaac	Foundation and earth
mdp.39015027249575	Elgin, Suzette Haden	Native tongue
mdp.39015027254021	Heinlein, Robert A.	Farmer in the sky
mdp.39015028456484	Harrison, Harry	West of Eden
mdp.39015028556739	Moorcock, Michael	The black corridor
mdp.39015028704974	McCaffrey, Anne	The white dragon
mdp.39015028745233	Delany, Samuel R.	Empire star
mdp.39015028779604	Blish, James	The seedling stars.
mdp.39015028909813	Anthony, Piers	Fractal mode
mdp.39015028919374	Asimov, Isaac and Robert Silverburg	The positronic man
mdp.39015029088732	Aldiss, Brian	A Tupolev too far : and other stories
mdp.39015029191478	Silverberg, Robert	The collected stories of Robert Silverberg.
mdp.39015029211250	McCaffrey, Anne	Damia
mdp.39015029264648	Silverberg, Robert	Kingdoms of the wall
mdp.39015029453845	McCaffrey, Anne	Crystal line
mdp.39015029505487	Brunner, John	Give warning to the world.
mdp.39015029750877	Hubbard, L. Ron	Return to tomorrow
mdp.39015029769521	Verne, Jules	Master of the world
mdp.39015029899484	Bester, Alfred	The stars my destination
mdp.39015030042686	Williamson, Jack	Brother to demons, brother to gods
mdp.39015030708716	Norton, Andre	Star born
mdp.39015030710662	Pohl, Frederik	The age of the pussyfoot.
mdp.39015030712197	Simak, Clifford D.	Destiny doll
mdp.39015030712213	Silverberg, Robert	To live again
mdp.39015030745981	Gotlieb, Phyllis	Why should I have all the grief?
mdp.39015030843992	Bradbury, Ray	Pillar of fire : and other plays for today, tomorrow, and beyond tomorrow
mdp.39015030945755	Anderson, Poul	The book of Poul Anderson.
mdp.39015030945789	Anderson, Poul and Gordon R. Dickson	Earthman's burden
mdp.39015031213492	Brunner, John	Age of miracles
mdp.39015031213500	Brunner, John	Born under Mars
mdp.39015031213518	Brunner, John	Interstellar empire.
mdp.39015031213526	Brunner, John	Into the slave nebula.
mdp.39015031213534	Brunner, John	The jagged orbit.
mdp.39015031213542	Brunner, John	Manshape
mdp.39015031213559	Brunner, John	More things in heaven.
mdp.39015031213575	Brunner, John	The stardroppers.
mdp.39015031213583	Brunner, John	Total eclipse
mdp.39015031213591	Brunner, John	Web of everywhere
mdp.39015031213609	Brunner, John	The wrong end of time
mdp.39015031299426	Russell, Eric Frank	Men, Martians, and machines
mdp.39015031301982	Sheckley, Robert	Untouched by human hands : thirteen stories
mdp.39015031602488	Dick, Philip K. and Roger Zelazny	Deus irae
mdp.39015031771275	Le Guin, Ursula K.	Four ways to forgiveness
mdp.39015032049994	Bishop, Michael	Transfigurations
mdp.39015032235858	Anthony, Patricia	Happy policeman
mdp.39015032281365	Charnas, Suzy McKee	Walk to the end of the world ; and, Motherlines.
mdp.39015032504303	Park, Severna	Speaking dreams
mdp.39015032574942	Lessing, Doris	Canopus in Argos : archives
mdp.39015032577341	Elgin, Suzette Haden	The judas rose
mdp.39015032584073	Slonczewski, Joan	A door into ocean
mdp.39015032584081	Tepper, Sheri S.	The gate to women's country
mdp.39015032734942	Adams, Douglas	Mostly harmless
mdp.39015032764527	Willis, Connie	Doomsday book
mdp.39015032813472	Silverberg, Robert	Hot sky at midnight
mdp.39015032860176	Moorcock, Michael	The steel tsar
mdp.39015032860184	Moorcock, Michael	Breakfast in the ruins: a novel of inhumanity.
mdp.39015033333876	Delany, Samuel R.	Hogg
mdp.39015033336366	Steele, Allen	The Jericho iteration
mdp.39015033871693	Anderson, Poul	The horn of time
mdp.39015033871719	Anderson, Poul	Seven conquests; an adventure in science fiction.
mdp.39015033871727	Anderson, Poul	We claim these stars
mdp.39015033989818	Benford, Gregory	Furious gulf
mdp.39015034227507	Delany, Samuel R.	The mad man
mdp.39015034245954	Le Guin, Ursula K.	A fisherman of the inland sea : science fiction stories
mdp.39015034258619	McDevitt, Jack	The engines of God
mdp.39015034261498	Steele, Allen	Rude astronauts : real and imagined stories
mdp.39015034284961	Due, Tananarive	The between
mdp.39015034356439	Clarke, Arthur C.	Prelude to space
mdp.39015034396237	Morrow, James	This is the way the world ends
mdp.39015034512692	Anderson, Kevin J.	Darksaber
mdp.39015034518962	Delany, Samuel R.	City of a thousand suns
mdp.39015034521867	Disch, Thomas M.	Echo round his bones
mdp.39015034642796	Dick, Philip K.	The cosmic puppets
mdp.39015034647167	Zelazny, Roger	Doorways in the sand
mdp.39015035321051	Crichton, Michael	Jurassic Park
mdp.39015035341448	Farmer, Philip José	Gods of riverworld
mdp.39015035341463	Farmer, Philip José	The dark design
mdp.39015035341471	Farmer, Philip José	Dayworld rebel
mdp.39015035342586	Heinlein, Robert A.	Have space suit--will travel.
mdp.39015037317537	Morrow, James	Bible stories for adults
mdp.39015037380923	Silverberg, Robert	Tom O'Bedlam
mdp.39015037402719	Reamy, Tom	Blind voices
mdp.39015037443838	May, Julian	Magnificat
mdp.39015037843896	Morrow, James	Blameless in Abaddon
mdp.39015038075829	Silverberg, Robert	Invaders from earth
mdp.39015038123769	Gibson, William	Idoru
mdp.39015038166594	Dick, Philip K.	Do androids dream of electric sheep?
mdp.39015038555903	Russell, Mary Doria	The sparrow
mdp.39015038571041	McCaffrey, Anne	Dragonseye
mdp.39015038888775	Sagan, Carl	Contact : a novel
mdp.39015038916857	Clarke, Arthur C.	2001: a space odyssey
mdp.39015038919323	Clarke, Arthur C.	2061 : Odyssey three
mdp.39015039923415	McCaffrey, Anne	The masterharper of Pern
mdp.39015040081997	Wyndham, John	Jizzle
mdp.39015040107081	Reamy, Tom	San Diego Lightfoot Sue and other stories
mdp.39015040110960	Bradley, Marion Zimmer	The spell sword
mdp.39015040110978	Bradley, Marion Zimmer	The heritage of Hastur
mdp.39015040121744	Harrison, Harry	The adventures of the stainless steel rat
mdp.39015040123906	Asimov, Isaac	The bicentennial man and other stories
mdp.39015040129085	Ballard, J. G.	High-rise
mdp.39015040597794	Keyes, Daniel	Flowers for Algernon
mdp.39015040621420	Butler, Octavia E.	Bloodchild : and other stories
mdp.39015040991369	Hoban, Russel	Fremder
mdp.39015041007413	Sterling, Bruce	Schismatrix plus
mdp.39015041008585	Bova, Ben	Moonrise
mdp.39015041058465	Clarke, Arthur C.	3001: the final odyssey
mdp.39015041292502	Silverberg, Robert	Sorcerers of Majipoor
mdp.39015041541445	Miller, Walter M., Jr.	Saint Leibowitz and the wild horse woman
mdp.39015041543078	Delacorte, Peter	Time on my hands
mdp.39015041612725	Ghosh, Amitav	The Calcutta chromosome
mdp.39015041745376	Blish, James	A dusk of idols : and other stories
mdp.39015041879738	De Camp, L. Sprague	Rogue queen
mdp.39015041888606	Robinson, Kim Stanley	The Martians
mdp.39015042474877	Vance, Jack	The complete dying earth
mdp.39015042474885	Anthony, Piers	Ox
mdp.39015042475130	Niven, Larry	Limits
mdp.39015042569924	Bear, Greg	Rogue planet
mdp.39015042598295	Vance, Jack	Ecce and Old Earth : Book Two of the Cadwal Chronicles
mdp.39015042849664	Brunner, John	From this day forward.
mdp.39015042857329	Benford, Gregory	In the ocean of night
mdp.39015042858483	Farmer, Philip José	The mad goblin
mdp.39015043053274	Burgess, Anthony	A clockwork orange
mdp.39015043103384	Norton, Andre	Iron cage
mdp.39015043127201	Moore, Ward	Bring the jubilee
mdp.39015043202087	Heinlein, Robert A.	The number of the beast
mdp.39015043409096	Felice, Cynthia and Connie Willis	Promised land
mdp.39015045681882	Zahn, Timothy	Vision of the future
mdp.39015046340124	Moore, C. L.	Jirel of Joiry
mdp.39015046373323	L'Engle, Madeleine	The arm of the starfish.
mdp.39015046383959	Rushdie, Salman	Grimus : a novel
mdp.39015046412311	Orwell, George	Nineteen eighty-four, a novel.
mdp.39015046424795	Heinlein, Robert A.	The menace from earth.
mdp.39015046792886	Heinlein, Robert A.	The moon is a harsh mistress
mdp.39015046826668	Clarke, Arthur C.	Tales of ten worlds.
mdp.39015046831189	Asimov, Isaac	The robots of dawn
mdp.39015046831460	Anthony, Piers	Orn
mdp.39015046831882	Ballard, J. G.	Chronopolis, and other stories
mdp.39015046832252	Clarke, Arthur C.	The best of Arthur C. Clarke V2
mdp.39015046832849	Pangborn, Edgar	A mirror for observers.
mdp.39015046878727	Butler, Octavia E.	Patternmaster
mdp.39015046879170	Delany, Samuel R.	Flight from Nevèrÿon
mdp.39015046886894	Whitehead, Colson	The intuitionist
mdp.39015047065514	Brin, David	Heaven's reach
mdp.39015047107332	Robinson, Kim Stanley	Antarctica
mdp.39015047430874	Simak, Clifford D.	Out of their minds
mdp.39015047443000	Zahn, Timothy	The Icarus hunt
mdp.39015047448934	Gibson, William	All tomorrow's parties
mdp.39015047519965	Russell, Mary Doria	Children of God
mdp.39015047546232	Heinlein, Robert A.	The man who sold the moon; Harriman and the escape from Earth to the Moon!
mdp.39015047597136	Russ, Joanna	The female man
mdp.39015047607174	Niven, Larry	The long arm of Gil Hamilton
mdp.39015047717866	Hopkinson, Nalo	Brown girl in the ring
mdp.39015047760072	Dickson, Gordon R.	None but man
mdp.39015047865228	McCaffrey, Anne	Pegasus in space
mdp.39015047866861	Simmons, Dan	The rise of Endymion
mdp.39015047868271	Zettel, Sarah	The quiet invasion
mdp.39015047873354	Due, Tananarive	My soul to keep
mdp.39015047874857	Sawyer, Robert J.	Illegal alien
mdp.39015048511540	Clarke, Arthur C. and Michael Kube-McDowell	The trigger
mdp.39015048537602	Simmons, Dan	Endymion
mdp.39015048749934	Sterling, Bruce	A good old-fashioned future : stories
mdp.39015048827151	Simak, Clifford D.	Special deliverance
mdp.39015048902632	Malzberg, Barry N.	The men inside
mdp.39015048917119	Herbert, Brian and Kevin J. Anderson	Dune : House Atreides
mdp.39015048933769	Morrow, James	The eternal footman
mdp.39015048955895	Anderson, Poul	Brain wave
mdp.39015049498192	Heinlein, Robert A.	Friday
mdp.39015049499166	Varley, John	The Ophiuchi hotline
mdp.39015049529830	Herbert, Brian and Kevin J. Anderson	Dune--House Harkonnen
mdp.39015049645875	Heinlein, Robert A.	Glory road
mdp.39015049988648	Baker, Kage	The graveyard game
mdp.39015049990735	Russo, Richard Paul	Ship of fools
mdp.39015050134215	Clarke, Arthur C. and Stephen Baxter	The light of other days
mdp.39015050134280	Sterling, Bruce	Zeitgeist
mdp.39015050156549	Silverberg, Robert	The mountains of Majipoor
mdp.39015050156861	Strugatsky, Arkady and Boris Strugatsky	Roadside picnic
mdp.39015050245557	Le Guin, Ursula K.	The telling
mdp.39015050309999	Lee, Tanith	Drinking sapphire wine
mdp.39015050521072	Lee, Tanith	Women as demons : the male perception of women through space and time : stories
mdp.39015050605990	Wilhelm, Kate	The Killer thing.
mdp.39015050618357	Smith, E. E.	Skylark three
mdp.39015050743361	Zelazny, Roger	The doors of his face, the lamps of his mouth and other stories
mdp.39015051347287	Blish, James	Anywhen.
mdp.39015052394841	Varley, John	The Persistence of vision
mdp.39015052398800	Varley, John	The Barbie murders
mdp.39015052399196	Pollack, Rachel	Golden Vanity
mdp.39015052467530	Le Guin, Ursula K.	The left hand of darkness
mdp.39015052544965	Silverberg, Robert	Revolt on Alpha C
mdp.39015052930057	Verne, Jules	The Begum's fortune
mdp.39015053112895	Herbert, Brian and Kevin J. Anderson	Dune : House Corrino
mdp.39015053114784	Baxter, Stephen	Origin
mdp.39015053140193	Delany, Samuel R.	The towers of Toron
mdp.39015053231513	Williamson, Jack	Manseed
mdp.39015053606052	Verne, Jules	The clipper of the clouds
mdp.39015053616549	Morrow, James	The wine of violence
mdp.39015053764299	McCaffrey, Anne	The Rowan
mdp.39015053767052	Willis, Connie	Passage
mdp.39015053774348	Swanwick, Michael	Stations of the tide
mdp.39015053774355	Haldeman, Joe	Forever peace
mdp.39015053784230	Cherryh, C. J.	Defender
mdp.39015054024701	Bradbury, Ray	Fahrenheit 451
mdp.39015054037372	Butler, Octavia E.	Wild seed
mdp.39015054063113	Herbert, Frank	The Jesus incident
mdp.39015054065951	Crichton, Michael	Timeline
mdp.39015054079978	Ballard, J. G.	Concrete island
mdp.39015054091841	Stephenson, Neal	Snow crash
mdp.39015054103471	Lessing, Doris	The four-gated city
mdp.39015054119980	Bear, Greg	Vitals
mdp.39015054129286	Goto, Hiromi	The Kappa child
mdp.39015054285773	Robinson, Kim Stanley	The years of rice and salt
mdp.39015054444222	Duane, Diane	Spider-Man : the Venom factor
mdp.39015055883048	Card, Orson Scott	Ender's game
mdp.39015056163242	Anthony, Piers	Kirlian quest
mdp.39015056189643	Cherryh, C. J.	Explorer
mdp.39015056223574	Bujold, Lois McMaster	Barrayar
mdp.39015056228656	Steele, Allen	Coyote
mdp.39015056246211	Bester, Alfred	Starburst (by Bester)
mdp.39015056248035	Dick, Philip K.	Counter-clock world
mdp.39015056248050	Dick, Philip K.	The man who japed
mdp.39015056268603	Bujold, Lois McMaster	Mirror dance
mdp.39015056308961	Le Guin, Ursula K.	Changing planes
mdp.39015056469367	Bujold, Lois McMaster	The vor game
mdp.39015056665758	Bear, Greg	Darwin's children
mdp.39015056666087	Delany, Samuel R.	Aye, and Gomorrah : stories
mdp.39015056670014	Haldeman, Joe	Guardian
mdp.39015056811675	Priest, Christopher	The inverted world
mdp.39015056814380	Norton, Andre	Dark Piper
mdp.39015056814406	Simak, Clifford D.	Shakespeare's planet
mdp.39015056817003	Morgan, Richard K.	Altered carbon
mdp.39015056817664	Elgin, Suzette Haden	The Ozark trilogy
mdp.39015056875126	Randall, Marta	The sword of winter
mdp.39015056891248	Dick, Philip K.	Eye in the sky
mdp.39015056891313	Tucker, Wilson	Ice and iron
mdp.39015056894028	Anthony, Patricia	Cold allies
mdp.39015057610332	Clarke, Arthur C.	Time's eye
mdp.39015057650312	Goodman, Alison	Singing the Dogstar blues
mdp.39015057659172	Heinlein, Robert A.	For us, the living : a comedy of customs
mdp.39015057976790	Stephenson, Neal	The diamond age,[or, Young lady's illustrated primer]/ Neal Stephenson.
mdp.39015058011183	Asimov, Isaac	The best science fiction of Isaac Asimov
mdp.39015058012215	Adams, Douglas	The long dark tea-time of the soul
mdp.39015058015028	Niffenegger, Audrey	The time traveler's wife
mdp.39015058140149	Gorodischer, Angelica	Kalpa imperial : the greatest empire that never was
mdp.39015058207518	Zahn, Timothy	Survivor's quest
mdp.39015058229801	Morgan, Richard K.	Broken angels
mdp.39015058239735	McDevitt, Jack	Omega
mdp.39015058394282	Bester, Alfred	The computer connection
mdp.39015058795439	Haldeman, Joe	Camouflage
mdp.39015058799936	Dickson, Gordon R.	Masters of Everon
mdp.39015058799985	Vance, Jack	Maske : Thaery
mdp.39015059120009	Robinson, Kim Stanley	Forty signs of rain
mdp.39015059124514	Sterling, Bruce	The zenith angle
mdp.39015059134919	Mieville, China	Iron council
mdp.39015059159205	Dick, Philip K.	Vulcan's hammer
mdp.39015059274319	Dick, Philip K.	The crack in space
mdp.39015059964455	Wilson, Robert Charles	Blind Lake
mdp.39015060029298	Capek, Karel	R.U.R.
mdp.39015060067264	Faust, Minister	The Coyote Kings of the space-age bachelor pad
mdp.39015060111138	Dick, Philip K.	The penultimate truth
mdp.39015060121780	Harrison, M. John	Light
mdp.39015060399618	Jones, Gwyneth	Life : a novel
mdp.39015060593897	Robson, Justina	Natural history
mdp.39015060658997	Morgan, Richard K.	Market forces
mdp.39015060899435	Clarke, Arthur C.	Sunstorm
mdp.39015060998203	Shelley, Mary	Frankenstein, or, The modern Prometheus
mdp.39015061142611	De Camp, L. Sprague	The best of L. Sprague de Camp
mdp.39015062063618	Niven, Larry	The Ringworld engineers
mdp.39015062083947	Heinlein, Robert A.	Space cadet
mdp.39015062108892	Heinlein, Robert A.	Double star
mdp.39015062109072	Adams, Douglas	Dirk Gently's Holistic Detective Agency
mdp.39015062113124	Le Guin, Ursula K.	The word for world is forest
mdp.39015062115905	Gibson, William	Virtual light
mdp.39015062494342	Tepper, Sheri S.	Beauty
mdp.39015062537835	Zahn, Timothy	Star Wars. Timothy Zahn.
mdp.39015062547180	Dick, Philip K.	Dr. Futurity
mdp.39015062880581	Stableford, Brian	Curse of the coral bride
mdp.39015063174026	Anthony, Piers	Prostho plus
mdp.39015063247657	Barry, Max	Company
mdp.39015063676988	Robinson, Kim Stanley	Fifty degrees below
mdp.39015063682309	King, Stephen	Cell
mdp.39015064884698	McCaffrey, Anne and Todd McCaffrey	Dragon's fire
mdp.39015064885208	Robson, Justina	Living next door to the god of love
mdp.39015064989042	Baxter, Stephen	Navigator
mdp.39015066013957	Bradley, Marion Zimmer	Hawkmistress!
mdp.39015066016018	Harrison, M. John	Viriconium
mdp.39015066036578	Twain, Mark	A Connecticut Yankee in King Arthur's court
mdp.39015066047674	Crichton, Michael	The lost world
mdp.39015066055297	Russell, Eric Frank	Deep space.
mdp.39015066055545	Simak, Clifford D.	They walked like men
mdp.39015066063077	Sheckley, Robert	Can you feel anything when I do this?.
mdp.39015066065247	Lem, Stanisław	The invincible; science fiction.
mdp.39015066065502	Carter, Angela	Heroes & villains.
mdp.39015066074900	Amis, Kingsley	The anti-Death League
mdp.39015066110555	Clarke, Arthur C.	Childhood's end
mdp.39015066408991	Dick, Philip K.	The three stigmata of Palmer Eldritch
mdp.39015066651012	Smith, E. E.	The skylark of space
mdp.39015066681423	Norton, Andre	Ice crown
mdp.39015066688824	Smith, E. E.	Skylark DuQuesne
mdp.39015066706428	Smith, E. E.	Skylark of Valeron
mdp.39015066897003	Reynolds, Alastair	Galactic North
mdp.39015067683642	McAuley, Paul	Players
mdp.39015068118747	Silverberg, Robert	Valentine Pontifex
mdp.39015068793978	Alexie, Sherman	Flight
mdp.39015069173774	Shaw, Bob	Cosmic kaleidoscope
mdp.39015069253121	Stapledon, Olaf	Last and first men : a story of the near and far future
mdp.39015069332511	Reynolds, Alastair	The prefect
mdp.39015070729945	Gibson, William	Spook country
mdp.39015070756146	Aldiss, Brian	Harm
mdp.39015073378179	Russ, Joanna	Picnic on paradise
mdp.39015073668769	Banks, Iain	Matter
mdp.39015073820865	Knight, Damon	Hell's pavement
mdp.39015073888920	Morrow, James	The philosopher's apprentice
mdp.39015073951314	Baxter, Stephen	Weaver
mdp.39015073992755	Sawyer, Robert J.	Identity theft and other stories
mdp.39015075681406	Dick, Philip K.	VALIS and later novels
mdp.39015076173080	Baker, Kage	Or else my lady keeps the key
mdp.39015077146168	Cherryh, C. J.	Regenesis
mdp.39015077649880	Anderson, Kevin J.	Metal swarm
mdp.39015078775163	Priest, Cherie	Those who went remain there still
mdp.39015078790162	Theroux, Marcel	Far north
mdp.39015079288901	Dick, Philip K.	The man in the high castle
mdp.39015079355601	Westwood, Kim	The Daughters of Moab
mdp.39015080820684	Williams, Walter Jon	This is not a game
mdp.39015080836201	Reynolds, Alastair	Zima blue and other stories
mdp.39015080873352	Anderson, Poul	Rise of the Terran Empire : the Technic Civilization saga
mdp.39015080874590	Cherryh, C. J.	Conspirator : Foreigner #10
mdp.39015082657167	Card, Orson Scott	Ender in exile
mdp.39015082679633	Stross, Charles	Saturn's children
mdp.39015082682785	Anderson, Kevin J.	The ashes of worlds
mdp.39015082723266	Hamilton, Peter F.	The temporal void
mdp.39015082762439	Herbert, Brian and Kevin J. Anderson	Paul of Dune
mdp.39015084104812	Stross, Charles	Wireless
mdp.39015084108342	Baxter, Stephen	Ark
mdp.39076000644612	Norton, Andre	Judgment on Janus
mdp.39076000644620	Norton, Andre	Uncharted stars
mdp.39076001176655	L'Engle, Madeleine	A wind in the door
mdp.39076001348916	Mukherjee, Bharati	The holder of the world
mdp.39076002642440	Anthony, Piers	Race against time
mdp.39076005032995	Clarke, Arthur C.	Glide path
mdp.39076006259126	Burroughs, Edgar Rice	The pirates of Venus, and Lost on Venus; two Venus novels
mdp.49015000301383	Aldiss, Brian	Seasons in flight
mdp.49015000320532	Bisson, Terry	Fire on the mountain
mdp.49015000528811	Burroughs, Edgar Rice	A princess of Mars
mdp.49015000528936	Aldiss, Brian	Hothouse
mdp.49015000529041	Sturgeon, Theodore	More than human
mdp.49015000553447	Bishop, Michael	No enemy but time
mdp.49015000568841	Asimov, Isaac	Robots and empire
mdp.49015000590613	Card, Orson Scott	The folk of the fringe
mdp.49015000593328	Heinlein, Robert A.	The door into summer
mdp.49015000617416	Martin, George R. R.	Sandkings
mdp.49015000617523	Harrison, Harry	The Deathworld trilogy : v1
mdp.49015000670696	Campbell, John W., Jr.	Who goes there? : Seven tales of science-fiction
mdp.49015000675919	Dick, Philip K.	Dr. Bloodmoney : or, How we got along after the bomb
mdp.49015000682998	Gerrold, David	The man who folded himself
mdp.49015000704743	Lee, Tanith	Dreams of dark and light : the great short fiction
mdp.49015000719303	May, Julian	The many-colored land
mdp.49015000720988	Henderson, Zenna	Zenna Henderson's pilgrimage
mdp.49015000722596	Niven, Larry	Ringworld
mdp.49015000744988	Swanwick, Michael	In The Drift
mdp.49015000995796	Leiber, Fritz	The wanderer
mdp.49015001026310	Brunner, John	The sheep look up
mdp.49015001037275	Asimov, Isaac	Foundation and empire
mdp.49015001042838	Benford, Gregory and David Brin	Heart of the comet
mdp.49015001218222	Wyndham, John	The Midwich cuckoos
mdp.49015001218255	Wyndham, John	Consider her ways & others
mdp.49015001218263	Wyndham, John	The outward urge
mdp.49015001300590	Simak, Clifford D.	City
mdp.49015001330183	Stewart, George R.	Earth abides
mdp.49015001376525	James, P. D.	The children of men
mdp.49015001396358	Van Vogt, A. E.	Empire of the atom
mdp.49015001409755	Asimov, Isaac	Forward the foundation
mdp.49015001418822	McDonald, Ian	The broken land
mdp.49015002042977	Kress, Nancy	The aliens of earth
mdp.49015002042985	Bishop, Michael	Brittle innings
mdp.49015002141738	Wilson, Robert Charles	Mysterium
mdp.49015002164110	Harrison, Harry	The Deathworld trilogy : v2
mdp.49015002164128	Harrison, Harry	The Deathworld trilogy : v3
mdp.49015002320274	Grimwood, Ken	Into the deep
mdp.49015002329309	Anderson, Poul	Orion shall rise
mdp.49015002329457	Koja, Kathe	Strange angels
mdp.49015002381391	Henderson, Zenna	Ingathering : the complete People stories of Zenna Henderson
mdp.49015002498468	Russo, Richard Paul	Carlucci's heart
mdp.49015002517150	Vonnegut, Kurt	Cat's cradle
mdp.49015002519933	Park, Severna	The annunciate
mdp.49015002595743	Bova, Ben	Kinsman
mdp.49015002673169	Nix, Garth	Shade's children
mdp.49015002815232	Asimov, Isaac	Prelude to foundation
mdp.49015002827781	Friedman, C. S.	When true night falls
mdp.49015002834613	Tiptree, James Jr.	Up the walls of the world
mdp.49015002931849	Effinger, George Alec	Budayeen nights
mdp.49015002963750	Silverberg, Robert	Phases of the moon : stories of six decades
mdp.49015003059152	Card, Orson Scott	Children of the mind
mdp.49015003071439	Bujold, Lois McMaster	Cordelia's honor
mdp.49015003071447	Herbert, Frank	Dune
mdp.49015003132090	Heinlein, Robert A.	The cat who walks through walls : a comedy of manners
miun.acb1468.0001.001	Huxley, Aldous	Ape and essence.
miun.ahq2807.0001.001	Woolf, Virginia	Orlando; a biography
nyp.33433075746960	Shelley, Mary	The last man
nyp.33433075755011	London, Jack	The star rover.
nyp.33433105944254	Wells, H. G.	A modern Utopia
osu.32435017685082	Burroughs, Edgar Rice	The warlord of Mars
osu.32435018600130	Burroughs, Edgar Rice	The gods of Mars
osu.32435053029575	Aldiss, Brian	The canopy of time
osu.32435053306510	Brunner, John	The dreaming earth
osu.32435053307146	Budrys, Algis	The unexpected dimension
osu.32435053307195	Budrys, Algis	Some will not die : here is a tomorrow
osu.32435053307344	Budrys, Algis	False night
osu.32435053307864	Campbell, John W., Jr.	The black star passes
osu.32435053311874	Harrison, Harry	Planet of the damned
osu.32435053311890	Harrison, Harry	The stainless steel rat : a science-fiction novel
osu.32435053572764	Dick, Philip K.	The world Jones made
osu.32435054204243	Matheson, Richard	The shrinking man
osu.32435055416200	Piper, H. Beam	Little Fuzzy
osu.32435055416515	Pohl, Frederik	The abominable earthman
osu.32435055419790	Sheckley, Robert	Journey beyond tomorrow
osu.32435056556525	Wells, H. G.	The time machine, an invention
osu.32435057546228	Wilhelm, Kate	The mile-long spaceship
osu.32435059734038	Heinlein, Robert A.	Revolt in 2100 : the prophets and the triumph of reason over superstition
osu.32435059969030	Williamson, Jack	The legion of time
osu.32435060535390	Farmer, Philip José	Strange relations
osu.32435074817214	Blish, James	Galactic cluster
pst.000000015790	Aldiss, Brian	Brian Aldiss Omnibus (2) : Space, Time and Nathaniel. Non-stop. The Male Response.
pst.000000018340	De Camp, L. Sprague	The wheels of if, and other science-fiction
pst.000000083423	Norton, Andre	Trey of swords
pst.000000186520	Lewis, C. S.	Perelandra
pst.000000187442	Clarke, Arthur C.	Against the fall of night.
pst.000005477456	Watson, Ian	The embedding.
pst.000007041129	Aldiss, Brian	Perilous planets
pst.000007408274	Brackett, Leigh	The sword of Rhiannon.
pst.000009413719	Vance, Jack	Lost moons
pst.000010923580	Pohl, Frederik and C. M. Kornbluth	Venus, inc.
pst.000011604587	Crichton, Michael	The terminal man.
pst.000012674534	Compton, D. G.	The steel crocodile
pst.000012745111	Vance, Jack	Big planet
pst.000012778010	Bradley, Marion Zimmer	The house between the worlds
pst.000012778621	Anderson, Poul	Ensign Flandry
pst.000012778713	Harrison, Harry and Gordon R. Dickson	Lifeboat
pst.000013229382	Bradley, Marion Zimmer	Stormqueen!
pst.000013229429	Bradley, Marion Zimmer	Two to conquer
pst.000013229474	Bradley, Marion Zimmer	The bloody sun
pst.000013229498	Bradley, Marion Zimmer	Darkover landfall
pst.000013229504	Bradley, Marion Zimmer	Star of danger
pst.000013229559	Dick, Philip K.	We can build you
pst.000013229702	Van Vogt, A. E.	The gryb
pst.000013229719	Vance, Jack	The languages of Pao
pst.000013229740	Heinlein, Robert A.	Citizen of the galaxy
pst.000013408435	Atwood, Margaret	The handmaid's tale
pst.000013669980	Miller, Walter M., Jr.	A canticle for Leibowitz
pst.000013792558	Watson, Ian	The very slow time machine
pst.000014486920	Heinlein, Robert A.	Tunnel in the sky
pst.000014940132	Harrison, Harry	Bill, the galactic hero
pst.000015004468	Norton, Andre	Android at arms
pst.000016395053	Asimov, Isaac	Nemesis
pst.000017107600	Herbert, Frank	Dune messiah
pst.000017775953	Aldiss, Brian	The male response
pst.000017857178	Bujold, Lois McMaster	Vorkosigan's game
pst.000017895262	Anderson, Kevin J. and Doug Beason	Lifeline
pst.000018452310	Christopher, John	The guardians
pst.000019919287	Sterling, Bruce	Islands in the net
pst.000020730109	Burroughs, Edgar Rice	Llana of Gathol and John Carter of Mars
pst.000020730116	Vinge, Joan D.	Fireship
pst.000021111570	Dickson, Gordon R.	Lost Dorsai
pst.000021219610	Burroughs, Edgar Rice	Beyond the farthest star
pst.000021311574	Aldiss, Brian	Man in his time : the best science fiction stories of Brian W. Aldiss.
